Mes,Acción,Enfoque en la Mascota,Canales de Comunicación
Enero,Desafío de TikTok #SoyUnOso,Crear un desafío viral en TikTok donde los fans imiten a la mascota en diferentes situaciones.,"TikTok, Instagram Reels"
Febrero,Colaboración con Influencers,Invitar a influencers deportivos y de lifestyle a crear contenido con la mascota.,"Instagram, YouTube"
Marzo,Torneo de Esports de Béisbol Virtual,Organizar un torneo de videojuegos de béisbol en línea con la mascota como personaje principal.,"Twitch, redes sociales"
Abril,Festival de Música y Deportes,"Organizar un festival al aire libre que combine música en vivo, deportes y actividades interactivas con la mascota.","Redes sociales, medios locales"
Mayo,Merchandising Exclusivo en Línea,Lanzar una línea de merchandising exclusiva con diseños modernos y atractivas ofertas para jóvenes.,"Tienda online del equipo, redes sociales"
Junio,Campamento de Verano de Béisbol y Creatividad,"Organizar un campamento de verano donde los jóvenes puedan aprender a jugar béisbol, crear contenido y diseñar su propia mercancía.","Instalaciones del equipo, redes sociales"
Julio,Concurso de Fan Art,Organizar un concurso de fan art en redes sociales para que los fans creen diseños originales de la mascota.,"Redes sociales, sitio web del equipo"
Agosto,Experiencia Virtual en Realidad Aumentada,Crear una experiencia de realidad aumentada donde los fans puedan interactuar con la mascota en un entorno virtual.,"Aplicación móvil, redes sociales"
Septiembre,"Pretemporada: ""La Nueva Era""",Lanzar una campaña en redes sociales presentando una nueva imagen de la mascota con un estilo más moderno y juvenil.,"Redes sociales, YouTube"
Octubre,"Halloween en el Estadio: ""Noche de Terror""","Organizar una fiesta de Halloween con temática de terror en el estadio, donde la mascota se transforme en un personaje espeluznante.","Estadio, redes sociales"
Noviembre,Black Friday: Descuentos Especiales para Jóvenes,Ofrecer descuentos exclusivos y promociones especiales para jóvenes durante el Black Friday.,"Tienda online, redes sociales"
Diciembre,Navidad con la Mascota: Sorteos y Regalos,"Organizar sorteos y concursos navideños en redes sociales, con la mascota como protagonista.","Redes sociales, sitio web del equipo"
