Mes,Acción,Enfoque en la Mascota,Canales de Comunicación
Enero,"Lanzamiento de la campaña ""Recuerdos de Osos""",Crear un concurso en redes sociales para que los fans compartan sus fotos y recuerdos más antiguos con la mascota.,"Redes sociales (Facebook, Twitter), sitio web del equipo"
Febrero,Día de la Mascota en el Estadio,"Organizar un evento especial en un partido de pretemporada donde la mascota sea la protagonista: concursos, meet & greet, venta de mercancía especial.","Estadio, redes sociales, medios locales"
Marzo,"Serie de videos ""Historia de un Oso""","Producir una serie de videos cortos que narren la historia de la mascota, desde su creación hasta el presente.","YouTube, redes sociales"
Abril,Activación en escuelas locales,Visitas de la mascota a escuelas primarias para fomentar el amor por el béisbol y la lectura.,"Escuelas, medios locales"
Mayo,Mes de la Herencia,Celebrar la historia y tradiciones del equipo con eventos especiales y promociones. La mascota puede vestir un uniforme retro.,"Estadio, redes sociales"
Junio,Campamento de Béisbol para Niños,"Organizar un campamento de béisbol para niños, donde la mascota sea el instructor principal.","Instalaciones del equipo, medios locales"
Julio,Día de los Abuelos en el Estadio,Ofrecer descuentos especiales para abuelos y nietos. La mascota puede realizar actividades interactivas con los asistentes.,"Estadio, redes sociales"
Agosto,Concurso de Dibujo para Niños,Organizar un concurso de dibujo donde los niños puedan crear su propia versión de la mascota.,"Redes sociales, sitio web del equipo"
Septiembre,"Pretemporada: ""Unidos por la Mascota""",Crear una campaña en redes sociales invitando a los fans a compartir fotos con la mascota.,"Redes sociales, sitio web del equipo"
Octubre,Fiesta de Halloween con temática de Béisbol,"Organizar una fiesta de Halloween en el estadio, donde la mascota pueda interactuar con los niños disfrazados.","Estadio, redes sociales"
Noviembre,Agradecimiento a los Fans,"Realizar una campaña de agradecimiento a los fans más fieles, con regalos especiales y reconocimientos. La mascota puede entregar los premios personalmente.","Estadio, correo electrónico, redes sociales"
Diciembre,Campaña de Navidad con la Mascota,Crear una campaña navideña donde la mascota reparta regalos a los niños en hospitales locales.,"Medios locales, redes sociales"
